Route ID,On Parts tab,Planned Lane Rate,Lane Freq,IsRoundTrip,Mode,EquipCode,Miles,,,,,,,,,,,,,,,,,,
MCG66A,MCG66A,232.43,1,Yes,MR,GM-53CVAIR-U53,180.200001,,,,,,,,,,,,,,,,,,
MCM01A,MCM01A,239.66,6,Yes,TL,GM-53CVAIR-U53,207,,,,,,,,,,,,,,,,,,
MCM03A,MCM03A,216.76,2,Yes,TL,GM-53CVAIR-U53,175.2,,,,,,,,,,,,,,,,,,
MCM06A,MCM06A,520.99,5,Yes,TL,GM-53SVAIR-010,410.6,,,,,,,,,,,,,,,,,,
MCM07A,MCM07A,136.27,1,Yes,TL,GM-53CVAIR-U53,10,,,,,,,,,,,,,,,,,,
MCM08A,MCM08A,247.69,3,Yes,TL,GM-53CVAIR-U53,175.2,,,,,,,,,,,,,,,,,,
MCM09A,MCM09A,134.12,6,Yes,TL,GM-53CVAIR-U53,10,,,,,,,,,,,,,,,,,,
MCM10A,MCM10A,116.48,6,Yes,TL,GM-53SVAIR-010,10,,,,,,,,,,,,,,,,,,
MCM11A,MCM11A,135.46,6,Yes,TL,GM-53CVAIR-U53,10,,,,,,,,,,,,,,,,,,
MCM14A,MCM14A,80.48,6,Yes,TL,GM-53CVAIR-U53,10,,,,,,,,,,,,,,,,,,
MCM15A,MCM15A,106.42,5,Yes,TL,GM-53CVAIR-U53,10,,,,,,,,,,,,,,,,,,
MCM17A,MCM17A,211.53,5,Yes,TL,GM-53CVAIR-U53,120.5,,,,,,,,,,,,,,,,,,
MCM25A,MCM25A,276.86,5,Yes,TL,GM-53SVAIR-010,175.2,,,,,,,,,,,,,,,,,,
MCM26A,MCM26A,221.78,5,Yes,TL,GM-53CVAIR-U53,175.2,,,,,,,,,,,,,,,,,,
MCM35A,MCM35A,213.66,5,Yes,TL,GM-53SVAIR-010,206,,,,,,,,,,,,,,,,,,
MCM36A,MCM36A,241.91,6,Yes,TL,GM-53CVAIR-U53,206,,,,,,,,,,,,,,,,,,
MCM38A,MCM38A,217.91,5,Yes,TL,GM-53CVAIR-U53,175.2,,,,,,,,,,,,,,,,,,
MCM39A,MCM39A,227.95,6,Yes,TL,GM-53CVAIR-U53,232.8,,,,,,,,,,,,,,,,,,
MCM40A,MCM40A,440.99,2,Yes,TL,GM-53CVAIR-U53,175.2,,,,,,,,,,,,,,,,,,
MCM46A,MCM46A,201.66,4,Yes,TL,GM-53CVAIR-U53,10,,,,,,,,,,,,,,,,,,
